Year;Total;Gasoline;Gasoline%;Diesel;Diesel%;LPG;LPG%;Electric-Hybrid;Electric-Hybrid%;Unknown;Unknown%
2004; 5400440; 4062486;75.2;  252629;4.7;  793081;14.7;;;  292244;5.4
2005; 5772745; 3883101;67.3;  394617;6.8; 1259327;21.8;;;  235700;4.1
2006; 6140992; 3838598;62.5;  583794;9.5; 1522790;24.8;;;  195810;3.2
2007; 6472156; 3714973;57.4;  763946;11.8; 1826126;28.2;;;  167111;2.6
2008; 6796629; 3531763;52.0;  947727;13.9; 2214661;32.6;;;  102478;1.5
2009; 7093964; 3373875;47.6; 1111822;15.7; 2525449;35.6;;;  82818;1.2
2010; 7544871; 3191964;42.3; 1381631;18.3; 2900034;38.4;;;  71242;0.9
2011; 8113111; 3036129;37.4; 1756034;21.6; 3259288;40.2;  47;0.0;  61613;0.8
2012; 8648875; 2929216;33.9; 2101206;24.3; 3569143;41.3;  228;0.0;  49082;0.6
2013; 9283923; 2888610;31.1; 2497209;26.9; 3852336;41.5;  436;0.0;  45332;0.5
2014; 9857915;2855078;29.0;2882885;29.2; 4076730;41.4;  525;0.0;  42697;0.4
2015; 10589337;2927720;27.6;3345951;31.6; 4272044;40.3;  889;0.0;  42733;0.4
2016; 11317998;3031744;26.8;3803772;33.6; 4439631;39.2; 1160;0.0;  41691;0.4
2017; 12035978;3120407;25.9;4256305;35.4; 4616842;38.4; 1685;0.0;  40739;0.3
2018; 12398190;3089626;24.9;4568665;36.8; 4695717;37.9; 5367;0.0;  38815;0.3
2019; 12503049;3020017;24.2;4769714;38.1; 4661707;37.3; 15053;0.1;  36558;0.3
2020; 13099041;3201894;24.4;5014356;38.3; 4810018;36.7; 36487;0.3;  36286;0.3
2021(1); 13293727;3293450;24.8;5072274;38.2; 4840950;36.4; 50837;0.4;  36216;0.3
