Year;Total;CO2;CH4;N2O;F
1990;219.6;151.5;42.5;25;0.6
1991;227;158;43.4;24.7;0.9
1992;233.2;163.9;43.3;25.3;0.7
1993;240.5;171;43.1;26;0.4
1994;234.5;167.4;42.8;23.6;0.7
1995;248;180.9;42.6;23.9;0.6
1996;267.6;199.5;43;24.5;0.6
1997;278.9;212;42.2;24;0.6
1998;280.4;212;42.4;25.3;0.6
1999;277.8;207.8;43.8;25.6;0.6
2000;299;229.8;43.7;24.8;0.7
2001;280.5;213.5;42.9;23.3;0.8
2002;286.2;221;41;23.3;1
2003;305.3;236.5;43;24.6;1.2
2004;314.8;244.5;43.5;25.4;1.5
2005;337.3;264.2;45.2;26.2;1.7
2006;358.6;281.6;46.6;28.4;1.9
2007;391.7;312.7;49;27.6;2.3
2008;387.9;309.3;49.9;26.2;2.4
2009;395.8;315.4;49.6;28.5;2.4
2010;399.1;314.4;51.4;29.8;3.6
2011;428.1;339.5;53.7;30.9;4
2012;447.6;353.7;57.1;32.1;4.7
2013;439.7;345.2;55.5;34.1;4.8
2014;459;361.7;57.5;34.6;5.3
2015;473.3;381.3;51.6;35.4;5
2016;498.9;401.2;54.5;37.7;5.5
2017;525;425.3;54.8;39.1;5.7
2018;522.5;419.4;58.1;39.3;5.7
2019;506.1;399.3;60.3;40.2;6.2
